tender_no,agency,category,award_date,fiscal_year,procurement_type,is_ett,n_rows,n_suppliers,awarded_amt,near_threshold,round_amount,high_share_incumbent,dominant_supplier_category,score,reasons
EMA000ETT20300022,Energy Market Authority of Singapore,consultancy,2021-04-01,FY2021,ETT,True,1,1,250000.0,False,True,False,False,1.0,round_amount
SFA000ETT20300053,Singapore Food Agency,cleaning/facilities,2021-04-01,FY2021,ETT,True,1,1,162612.0,False,False,False,False,0.0,
NEA000ETT20300210,National Environment Agency,construction,2021-04-01,FY2021,ETT,True,1,1,599051.0,False,False,False,False,0.0,
URA000ETT20300030,Urban Redevelopment Authority,other,2021-04-01,FY2021,ETT,True,1,1,118100.0,False,False,False,False,0.0,
NPB000ETT20300076,National Parks Board,supplies,2021-04-01,FY2021,ETT,True,4,4,158525.0,False,False,False,False,0.0,
HDB000ETT20300255,Housing and Development Board,construction,2021-04-01,FY2021,ETT,True,1,1,12114.0,False,False,False,False,0.0,
HDB000ETT20300254,Housing and Development Board,construction,2021-04-01,FY2021,ETT,True,1,1,11255.2,False,False,False,False,0.0,
TPO000ETT21000005,Temasek Polytechnic,other,2021-04-01,FY2021,ETT,True,2,2,90250.0,False,False,False,False,0.0,
NPO000ETT20300033,Ngee Ann Polytechnic,IT,2021-04-01,FY2021,ETT,True,1,1,418588.0,False,False,False,False,0.0,
NST000ETT20300095,"Agency for Science, Technology and Research",training,2021-04-01,FY2021,ETT,True,1,1,276600.0,False,False,False,False,0.0,
NST000ETT20300119,"Agency for Science, Technology and Research",IT,2021-04-01,FY2021,ETT,True,1,1,999165.2,False,False,False,False,0.0,
PAS000ETT21000006,People's Association,other,2021-04-01,FY2021,ETT,True,5,5,6104285.75,False,False,False,False,0.0,
MAS000ETT20300061,Monetary Authority of Singapore,IT,2021-04-01,FY2021,ETT,True,1,1,168235.0,False,False,False,False,0.0,
CDVHQ0ETT21000004,Ministry of Social and Family Development - Ministry Headquarter,other,2021-04-02,FY2021,ETT,True,1,1,5024980.0,False,False,False,False,0.0,
LTA000ETT20300108,Land Transport Authority,other,2021-04-05,FY2021,ETT,True,1,1,11997700.0,False,False,False,False,0.0,
NST000ETT20300082,"Agency for Science, Technology and Research",supplies,2021-04-05,FY2021,ETT,True,2,2,1460338.73,False,False,False,False,0.0,
LTA000ETT19300148,Land Transport Authority,construction,2021-04-05,FY2021,ETT,True,1,1,262660000.0,False,True,False,False,1.0,round_amount
MHA00003000006734,Ministry of Home Affairs - Ministry Headquarter 1,construction,2021-04-05,FY2021,(no code),False,1,1,687000.0,False,False,False,False,0.0,
LTA000ETT20300006,Land Transport Authority,construction,2021-04-05,FY2021,ETT,True,1,1,263000000.0,False,True,False,False,1.0,round_amount
NCS000ETT20300015,National Council of Social Service,other,2021-04-05,FY2021,ETT,True,1,1,3589820.0,False,False,False,False,0.0,
HDB000ETT21000002,Housing and Development Board,supplies,2021-04-05,FY2021,ETT,True,1,1,17.17,False,False,False,False,0.0,
LTA000ETT20300096,Land Transport Authority,consultancy,2021-04-06,FY2021,ETT,True,1,1,782950.0,False,False,False,False,0.0,
NST000ETT20300112,"Agency for Science, Technology and Research",supplies,2021-04-06,FY2021,ETT,True,1,1,150022.8,False,False,False,False,0.0,
ITE000ETT20300049,Institute of Technical Education,construction,2021-04-06,FY2021,ETT,True,2,2,1670156.0,False,False,False,False,0.0,
PUB000ETT20300273,Public Utilities Board,consultancy,2021-04-06,FY2021,ETT,True,1,1,4988800.0,False,False,False,False,0.0,
PUB000ETT20300193,Public Utilities Board,other,2021-04-06,FY2021,ETT,True,1,1,125000000.0,False,True,False,False,1.0,round_amount
URA000ETT20300019,Urban Redevelopment Authority,construction,2021-04-06,FY2021,ETT,True,1,1,13700000.0,False,True,False,False,1.0,round_amount
PMONRFETT21000001,Prime Minister's Office - National Research Foundation,cleaning/facilities,2021-04-06,FY2021,ETT,True,1,1,498919.0,False,False,False,False,0.0,
EAB000ETT21000002,Singapore Examinations and Assessment Board,supplies,2021-04-06,FY2021,ETT,True,1,1,144885.46,False,False,False,False,0.0,
NPB000ETT21000004,National Parks Board,cleaning/facilities,2021-04-06,FY2021,ETT,True,1,1,4815891.0,False,False,False,False,0.0,
HDB000ETT21000003,Housing and Development Board,consultancy,2021-04-07,FY2021,ETT,True,1,1,145000.0,False,False,False,False,0.0,
MOMHQ0ETT20300007,Ministry of Manpower-Ministry Headquarter,other,2021-04-07,FY2021,ETT,True,1,1,499000.0,False,False,False,False,0.0,
MOE000ETT20300060,Ministry of Education,training,2021-04-07,FY2021,ETT,True,1,1,1974000.0,False,False,False,False,0.0,
HDB000ETT20300154,Housing and Development Board,cleaning/facilities,2021-04-07,FY2021,ETT,True,1,1,10162193.2,False,False,False,False,0.0,
MPA000ETT21000005,Maritime and Port Authority of Singapore,other,2021-04-07,FY2021,ETT,True,1,1,369000.0,False,False,False,False,0.0,
HDB000ETT20300223,Housing and Development Board,cleaning/facilities,2021-04-07,FY2021,ETT,True,1,1,421950.0,False,False,False,False,0.0,
EAB000ETT20300009,Singapore Examinations and Assessment Board,IT,2021-04-07,FY2021,ETT,True,1,1,9844721.0,False,False,False,False,0.0,
HDB000ETT20300243,Housing and Development Board,other,2021-04-07,FY2021,ETT,True,1,1,101144.0,False,False,False,False,0.0,
LTA000ETT21000001,Land Transport Authority,construction,2021-04-07,FY2021,ETT,True,1,1,630485.0,False,False,False,False,0.0,
FOR000ETT20300060,Ministry of Foreign Affairs,other,2021-04-07,FY2021,ETT,True,1,1,2358282.79,False,False,False,False,0.0,
ISA000ETT21000002,ISEAS - Yusof Ishak Institute,other,2021-04-07,FY2021,ETT,True,1,1,120750.0,False,False,False,False,0.0,
HDB000ETT21000001,Housing and Development Board,supplies,2021-04-08,FY2021,ETT,True,1,1,75.21,False,False,False,False,0.0,
EMA000ETT21000005,Energy Market Authority of Singapore,consultancy,2021-04-08,FY2021,ETT,True,1,1,181000.0,False,False,False,False,0.0,
DEF000ETT20300044,Ministry of Defence,other,2021-04-08,FY2021,ETT,True,1,1,474955.0,False,False,False,False,0.0,
STB000ETT20300044,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,399093.0,False,False,False,False,0.0,
STB000ETT21000002,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,1330154.44,False,False,False,False,0.0,
JUDSUPETT20300011,Judiciary-Supreme Court,cleaning/facilities,2021-04-08,FY2021,ETT,True,1,1,168800.0,False,False,False,False,0.0,
STB000ETT21000004,Singapore Tourism Board,other,2021-04-08,FY2021,ETT,True,1,1,70050.0,False,False,False,False,0.0,
RPO000ETT20300055,Republic Polytechnic,cleaning/facilities,2021-04-08,FY2021,ETT,True,1,1,257400.0,False,False,False,False,0.0,
LTA000ETT20300022,Land Transport Authority,construction,2021-04-08,FY2021,ETT,True,1,1,40800000.0,False,True,False,False,1.0,round_amount
LTA000ETT20300023,Land Transport Authority,construction,2021-04-08,FY2021,ETT,True,1,1,46060011.0,False,False,False,False,0.0,
HLTHQ0ETT20300042,Ministry of Health-Ministry Headquarter,consultancy,2021-04-08,FY2021,ETT,True,1,1,1480000.0,False,True,False,False,1.0,round_amount
ITA000ETT20300020,Ministry of Digital Development and Information,training,2021-04-08,FY2021,ETT,True,1,1,430000.0,False,True,False,False,1.0,round_amount
NST000ETT20300122,"Agency for Science, Technology and Research",cleaning/facilities,2021-04-08,FY2021,ETT,True,13,13,93900.0,False,False,False,False,0.0,
PUB000ETT20300296,Public Utilities Board,other,2021-04-09,FY2021,ETT,True,1,1,8383000.0,False,False,False,False,0.0,
HSA000ETT20300057,Health Sciences Authority,supplies,2021-04-09,FY2021,ETT,True,1,1,18432.0,False,False,False,False,0.0,
ITA000ETT20300004,Ministry of Digital Development and Information,other,2021-04-09,FY2021,ETT,True,77,77,3891862.5,False,False,False,False,0.0,
NEA000ETT21000002,National Environment Agency,other,2021-04-09,FY2021,ETT,True,1,1,234360.0,False,False,False,False,0.0,
LTA000ETT20300059,Land Transport Authority,construction,2021-04-09,FY2021,ETT,True,1,1,137312500.0,False,False,False,False,0.0,
TPO000ETT21000007,Temasek Polytechnic,other,2021-04-09,FY2021,ETT,True,1,1,73125.0,False,False,False,False,0.0,
SCB000ETT21000003,Science Centre Board,other,2021-04-09,FY2021,ETT,True,1,1,192500.0,False,False,False,False,0.0,
LTA000ETT20300092,Land Transport Authority,supplies,2021-04-12,FY2021,ETT,True,1,1,32273010.0,False,False,False,False,0.0,
HDB000ETT20300240,Housing and Development Board,other,2021-04-12,FY2021,ETT,True,1,1,43680.0,False,False,False,False,0.0,
PUB000ETT20300295,Public Utilities Board,other,2021-04-12,FY2021,ETT,True,1,1,3180000.0,False,True,False,False,1.0,round_amount
HLTHQ0ETT20300143,Ministry of Health-Ministry Headquarter,construction,2021-04-12,FY2021,ETT,True,1,1,9325000.0,False,False,False,False,0.0,
GVT000ETT20300048,Government Technology Agency (GovTech),IT,2021-04-12,FY2021,ETT,True,1,1,1.0,False,False,False,False,0.0,
NAC000ETT21000003,National Arts Council,other,2021-04-13,FY2021,ETT,True,8,8,3425.0,False,False,False,False,0.0,
JTC000ETT20300133,Jurong Town Corporation,IT,2021-04-13,FY2021,ETT,True,1,1,6552775.0,False,False,False,False,0.0,
LTA000ETT19300201,Land Transport Authority,other,2021-04-13,FY2021,ETT,True,1,1,17311460.0,False,False,False,False,0.0,
LTA000ETT20300122,Land Transport Authority,supplies,2021-04-13,FY2021,ETT,True,1,1,202384.0,False,False,False,False,0.0,
DEF000ETT21000005,Ministry of Defence,other,2021-04-13,FY2021,ETT,True,2,2,399000.0,False,False,False,False,0.0,
NEA000ETT20300258,National Environment Agency,construction,2021-04-13,FY2021,ETT,True,1,1,138000.0,False,False,False,False,0.0,
PMONRFETT21000002,Prime Minister's Office - National Research Foundation,construction,2021-04-13,FY2021,ETT,True,1,1,3200000.0,False,True,False,False,1.0,round_amount
HDB000ETT20300216,Housing and Development Board,supplies,2021-04-13,FY2021,ETT,True,1,1,51420.0,False,False,False,False,0.0,
PAR000ETT21000003,Parliament,cleaning/facilities,2021-04-14,FY2021,ETT,True,1,1,1236850.0,False,False,False,False,0.0,
JTC000ETT20300156,Jurong Town Corporation,consultancy,2021-04-14,FY2021,ETT,True,1,1,17.5,False,False,False,False,0.0,
PAS000ETT21000023,People's Association,other,2021-04-14,FY2021,ETT,True,1,1,68948.0,False,False,False,False,0.0,
HDB000ETT20300251,Housing and Development Board,other,2021-04-14,FY2021,ETT,True,1,1,18900.0,False,False,False,False,0.0,
CRA000ETT20300008,Gambling Regulatory Authority of Singapore (GRA),other,2021-04-14,FY2021,ETT,True,1,1,722700.0,False,False,False,False,0.0,
HDB000ETT20300228,Housing and Development Board,cleaning/facilities,2021-04-14,FY2021,ETT,True,1,1,5280.0,False,False,False,False,0.0,
NYP000ETT20300025,Nanyang Polytechnic,supplies,2021-04-14,FY2021,ETT,True,1,1,423750.0,False,False,False,False,0.0,
DEF000ETT20300108,Ministry of Defence,cleaning/facilities,2021-04-15,FY2021,ETT,True,1,1,438048.67,False,False,False,False,0.0,
FOR000ETT21000003,Ministry of Foreign Affairs,cleaning/facilities,2021-04-15,FY2021,ETT,True,1,1,1261781.35,False,False,False,False,0.0,
MHA00003000006979,Ministry of Home Affairs - Ministry Headquarter 1,cleaning/facilities,2021-04-15,FY2021,(no code),False,1,1,229920.0,False,False,False,False,0.0,
PFA000ETT21000001,Productivity Fund Administration Board,consultancy,2021-04-15,FY2021,ETT,True,1,1,258000.0,False,False,False,False,0.0,
HDB000ETT20300229,Housing and Development Board,cleaning/facilities,2021-04-15,FY2021,ETT,True,1,1,4260.0,False,False,False,False,0.0,
MPA000ETT21000001,Maritime and Port Authority of Singapore,consultancy,2021-04-15,FY2021,ETT,True,5,5,13600.0,False,False,False,False,0.0,
CCYNYCETT20300017,"Ministry of Culture, Community and Youth - National Youth Council",IT,2021-04-15,FY2021,ETT,True,1,1,1538750.0,False,False,False,False,0.0,
NPB000ETT21000014,National Parks Board,IT,2021-04-15,FY2021,ETT,True,1,1,129600.0,False,False,False,False,0.0,
INDSCGETT21000001,Singapore Chinese Girls' School,training,2021-04-15,FY2021,ETT,True,2,2,184680.0,False,False,False,False,0.0,
MAS000ETT20300048,Monetary Authority of Singapore,other,2021-04-15,FY2021,ETT,True,1,1,775000.0,False,False,False,False,0.0,
LTA000ETT20300113,Land Transport Authority,cleaning/facilities,2021-04-16,FY2021,ETT,True,1,1,5998080.0,False,False,False,False,0.0,
NPO000ETT20300020,Ngee Ann Polytechnic,training,2021-04-16,FY2021,ETT,True,3,3,59450.4,False,False,False,False,0.0,
NPO000ETT20300016,Ngee Ann Polytechnic,cleaning/facilities,2021-04-16,FY2021,ETT,True,3,3,256358.0,False,False,False,False,0.0,
FINHQ0ETT21000002,Ministry of Finance-Ministry Headquarter,other,2021-04-16,FY2021,ETT,True,1,1,154200.0,False,False,False,False,0.0,
CCY000ETT21000001,"Ministry of Culture, Community and Youth - Ministry Headquarter",consultancy,2021-04-16,FY2021,ETT,True,1,1,0.7,False,False,False,False,0.0,
CCY000ETT21000002,"Ministry of Culture, Community and Youth - Ministry Headquarter",consultancy,2021-04-16,FY2021,ETT,True,1,1,1.64,False,False,False,False,0.0,
DST000ETT21000002,Defence Science and Technology Agency,IT,2021-04-16,FY2021,ETT,True,2,2,254388.0,False,False,False,False,0.0,
CDVHQ0ETT21000001,Ministry of Social and Family Development - Ministry Headquarter,other,2021-04-16,FY2021,ETT,True,1,1,428400.0,False,False,False,False,0.0,
EDB000ETT21000001,Economic Development Board,IT,2021-04-16,FY2021,ETT,True,1,1,2906092.28,False,False,False,False,0.0,
EDB000ETT20300009,Economic Development Board,IT,2021-04-16,FY2021,ETT,True,11,11,22609.0,False,False,False,False,0.0,
HLTHQ0ETT20300041,Ministry of Health-Ministry Headquarter,other,2021-04-16,FY2021,ETT,True,1,1,31704180.0,False,False,False,False,0.0,
DEF000ETT21000003,Ministry of Defence,construction,2021-04-17,FY2021,ETT,True,4,4,5978353.0,False,False,False,False,0.0,
STB000ETT21000005,Singapore Tourism Board,consultancy,2021-04-19,FY2021,ETT,True,1,1,296000.0,False,False,False,False,0.0,
GVT000ETT20300047,Government Technology Agency (GovTech),supplies,2021-04-19,FY2021,ETT,True,1,1,36000.0,False,False,False,False,0.0,
PAS000ETT21000053,People's Association,supplies,2021-04-19,FY2021,ETT,True,2,2,231778.0,False,False,False,False,0.0,
HSA000ETT21000008,Health Sciences Authority,consultancy,2021-04-19,FY2021,ETT,True,1,1,349350.0,False,False,False,False,0.0,
HDB000ETT20300234,Housing and Development Board,construction,2021-04-19,FY2021,ETT,True,1,1,26625000.0,False,False,False,False,0.0,
HPB000ETT20300003,Health Promotion Board,supplies,2021-04-19,FY2021,ETT,True,3,3,249420.0,False,False,False,False,0.0,
LTA000ETT20300127,Land Transport Authority,supplies,2021-04-19,FY2021,ETT,True,1,1,4711800.0,False,False,False,False,0.0,
CPF000ETT21000003,Central Provident Fund Board,supplies,2021-04-19,FY2021,ETT,True,1,1,1413555.0,False,False,False,False,0.0,
DEF000ETT21000002,Ministry of Defence,supplies,2021-04-19,FY2021,ETT,True,2,2,28020.0,False,False,False,False,0.0,
CDVHQ0ETT20300017,Ministry of Social and Family Development - Ministry Headquarter,consultancy,2021-04-19,FY2021,ETT,True,1,1,12.5,False,False,False,False,0.0,
MHA00003000007706,Ministry of Home Affairs - Ministry Headquarter 1,other,2021-04-20,FY2021,(no code),False,1,1,280520.0,False,False,False,False,0.0,
PUB000ETT20300234,Public Utilities Board,construction,2021-04-20,FY2021,ETT,True,1,1,21681000.0,False,False,False,False,0.0,
HSA000ETT21000005,Health Sciences Authority,other,2021-04-20,FY2021,ETT,True,1,1,30100.0,False,False,False,False,0.0,
NHB000ETT20300025,National Heritage Board,consultancy,2021-04-20,FY2021,ETT,True,1,1,626500.0,False,False,False,False,0.0,
CCYNYCETT20300018,"Ministry of Culture, Community and Youth - National Youth Council",IT,2021-04-20,FY2021,ETT,True,1,1,175200.0,False,False,False,False,0.0,
PAS000ETT20300318,People's Association,other,2021-04-21,FY2021,ETT,True,1,1,18985072.0,False,False,False,False,0.0,
PUB000ETT20300300,Public Utilities Board,other,2021-04-21,FY2021,ETT,True,1,1,2434000.0,False,False,False,False,0.0,
LTA000ETT20300132,Land Transport Authority,other,2021-04-21,FY2021,ETT,True,3,3,3.0,False,False,False,False,0.0,
CPF000ETT21000006,Central Provident Fund Board,IT,2021-04-21,FY2021,ETT,True,1,1,482376.0,False,False,False,False,0.0,
PAS000ETT20300115,People's Association,IT,2021-04-22,FY2021,ETT,True,1,1,2620052.9,False,False,False,False,0.0,
LAWHQ0ETT21000002,Ministry of Law-Ministry Headquarter,other,2021-04-22,FY2021,ETT,True,1,1,30.0,False,False,False,False,0.0,
PUB000ETT20300299,Public Utilities Board,other,2021-04-22,FY2021,ETT,True,1,1,6291041.0,False,False,False,False,0.0,
PUB000ETT21000007,Public Utilities Board,other,2021-04-22,FY2021,ETT,True,1,1,268898.0,False,False,False,False,0.0,
SCB000ETT21000001,Science Centre Board,construction,2021-04-22,FY2021,ETT,True,1,1,809600.0,False,False,False,False,0.0,
MHA00003000005036,Ministry of Home Affairs - Ministry Headquarter 1,cleaning/facilities,2021-04-22,FY2021,(no code),False,1,1,107100.0,False,False,False,False,0.0,
HDB000ETT21000009,Housing and Development Board,other,2021-04-22,FY2021,ETT,True,1,1,2435000.0,False,False,False,False,0.0,
SPO000ETT21000003,Singapore Polytechnic,supplies,2021-04-22,FY2021,ETT,True,1,1,135700.0,False,False,False,False,0.0,
MPA000ETT21000008,Maritime and Port Authority of Singapore,supplies,2021-04-22,FY2021,ETT,True,1,1,118000.0,False,False,False,False,0.0,
NST000ETT20300046,"Agency for Science, Technology and Research",supplies,2021-04-23,FY2021,ETT,True,1,1,1513787.32,False,False,False,False,0.0,
PAS000ETT20300104,People's Association,cleaning/facilities,2021-04-23,FY2021,ETT,True,1,1,918688.0,False,False,False,False,0.0,
MPA000ETT21000003,Maritime and Port Authority of Singapore,other,2021-04-23,FY2021,ETT,True,2,2,1911270.12,False,False,False,False,0.0,
NST000ETT20300083,"Agency for Science, Technology and Research",supplies,2021-04-23,FY2021,ETT,True,2,2,498630.44,False,False,False,False,0.0,
PUB000ETT21000044,Public Utilities Board,other,2021-04-23,FY2021,ETT,True,1,1,25120.0,False,False,False,False,0.0,
SLA000ETT21000004,Singapore Land Authority,IT,2021-04-23,FY2021,ETT,True,1,1,276119.0,False,False,False,False,0.0,
HDB000ETT20300227,Housing and Development Board,construction,2021-04-23,FY2021,ETT,True,1,1,244800000.0,False,True,False,False,1.0,round_amount
LTA000ETT21000015,Land Transport Authority,supplies,2021-04-23,FY2021,ETT,True,1,1,251269.0,False,False,False,False,0.0,
MDA000ETT21000006,Info-communications Media Development Authority - MDA,IT,2021-04-23,FY2021,ETT,True,1,1,180000.0,False,True,False,False,1.0,round_amount
NPO000ETT20300031,Ngee Ann Polytechnic,consultancy,2021-04-25,FY2021,ETT,True,1,1,965250.0,False,False,False,False,0.0,
DEF000ETT21000019,Ministry of Defence,other,2021-04-26,FY2021,ETT,True,3,3,291920.0,False,False,False,False,0.0,
NST000ETT21000012,"Agency for Science, Technology and Research",other,2021-04-26,FY2021,ETT,True,1,1,254000.0,False,False,False,False,0.0,
FOR000ETT21000004,Ministry of Foreign Affairs,cleaning/facilities,2021-04-26,FY2021,ETT,True,1,1,925612.77,False,False,False,False,0.0,
MAS000ETT21000009,Monetary Authority of Singapore,other,2021-04-26,FY2021,ETT,True,1,1,915110.43,False,False,False,False,0.0,
MHA00003000007573,Ministry of Home Affairs - Ministry Headquarter 1,cleaning/facilities,2021-04-26,FY2021,(no code),False,1,1,683306.0,False,False,False,False,0.0,
URA000ETT20300034,Urban Redevelopment Authority,IT,2021-04-26,FY2021,ETT,True,1,1,2596499.0,False,False,False,False,0.0,
PUB000ETT20300195,Public Utilities Board,other,2021-04-26,FY2021,ETT,True,1,1,3564690.0,False,False,False,False,0.0,
JTC000ETT21000004,Jurong Town Corporation,other,2021-04-26,FY2021,ETT,True,1,1,431836.0,False,False,False,False,0.0,
NPO000ETT20300030,Ngee Ann Polytechnic,supplies,2021-04-26,FY2021,ETT,True,14,14,467844.08,False,False,False,False,0.0,
LTA000ETT19300153,Land Transport Authority,construction,2021-04-26,FY2021,ETT,True,1,1,979762000.0,False,False,False,False,0.0,
SFA000ETT20300050,Singapore Food Agency,other,2021-04-26,FY2021,ETT,True,1,1,449280.0,False,False,False,False,0.0,
LTA000ETT20300090,Land Transport Authority,other,2021-04-26,FY2021,ETT,True,2,2,9410894.0,False,False,False,False,0.0,
NYP000ETT20300020,Nanyang Polytechnic,supplies,2021-04-27,FY2021,ETT,True,9,9,700000.0,False,True,False,False,1.0,round_amount
JTC000ETT21000011,Jurong Town Corporation,construction,2021-04-27,FY2021,ETT,True,1,1,557000.0,False,False,False,False,0.0,
SPO000ETT20300052,Singapore Polytechnic,IT,2021-04-27,FY2021,ETT,True,1,1,585150.37,False,False,False,False,0.0,
JTC000ETT20300124,Jurong Town Corporation,consultancy,2021-04-27,FY2021,ETT,True,1,1,1.0,False,False,False,False,0.0,
NEA000ETT20300240,National Environment Agency,supplies,2021-04-27,FY2021,ETT,True,4,4,423527.0,False,False,False,False,0.0,
EAB000ETT21000003,Singapore Examinations and Assessment Board,supplies,2021-04-27,FY2021,ETT,True,1,1,470008.25,False,False,False,False,0.0,
NST000ETT20300106,"Agency for Science, Technology and Research",cleaning/facilities,2021-04-27,FY2021,ETT,True,1,1,40428844.4,False,False,False,False,0.0,
SLA000ETT21000005,Singapore Land Authority,other,2021-04-28,FY2021,ETT,True,1,1,357170.4,False,False,False,False,0.0,
ITE000ETT21000002,Institute of Technical Education,other,2021-04-28,FY2021,ETT,True,1,1,255200.0,False,False,False,False,0.0,
SPO000ETT20300051,Singapore Polytechnic,construction,2021-04-28,FY2021,ETT,True,1,1,1430000.0,False,True,False,False,1.0,round_amount
DEF000ETT20300182,Ministry of Defence,cleaning/facilities,2021-04-28,FY2021,ETT,True,1,1,586980.0,False,False,False,False,0.0,
NPB000ETT21000015,National Parks Board,other,2021-04-28,FY2021,ETT,True,1,1,1571122.36,False,False,False,False,0.0,
MAS000ETT20300045,Monetary Authority of Singapore,IT,2021-04-28,FY2021,ETT,True,1,1,299494.65,False,False,False,False,0.0,
SLA000ETT21000003,Singapore Land Authority,cleaning/facilities,2021-04-28,FY2021,ETT,True,1,1,17568482.75,False,False,False,False,0.0,
HDB000ETT20300231,Housing and Development Board,construction,2021-04-28,FY2021,ETT,True,1,1,109600000.0,False,True,False,False,1.0,round_amount
CAA000ETT20300027,Civil Aviation Authority of Singapore,cleaning/facilities,2021-04-28,FY2021,ETT,True,1,1,160840.0,False,False,False,False,0.0,
HPB000ETT21000007,Health Promotion Board,other,2021-04-28,FY2021,ETT,True,4,4,4.0,False,False,False,False,0.0,
HSA000ETT21000012,Health Sciences Authority,supplies,2021-04-28,FY2021,ETT,True,1,1,133200.0,False,False,False,False,0.0,
SDC000ETT20300040,Sentosa Development Corporation,other,2021-04-29,FY2021,ETT,True,1,1,641700.0,False,False,False,False,0.0,
HSA000ETT21000010,Health Sciences Authority,other,2021-04-29,FY2021,ETT,True,1,1,1655000.0,False,False,False,False,0.0,
NLB000ETT21000004,National Library Board,cleaning/facilities,2021-04-29,FY2021,ETT,True,1,1,556992.5,False,False,False,False,0.0,
NLB000ETT20300026,National Library Board,consultancy,2021-04-29,FY2021,ETT,True,1,1,502650.0,False,False,False,False,0.0,
PAS000ETT21000050,People's Association,construction,2021-04-29,FY2021,ETT,True,2,2,1002000.0,False,False,False,False,0.0,
DEF000ETT21000020,Ministry of Defence,supplies,2021-04-29,FY2021,ETT,True,1,1,1279810.93,False,False,False,False,0.0,
CRA000ETT21000001,Gambling Regulatory Authority of Singapore (GRA),IT,2021-04-29,FY2021,ETT,True,1,1,1636520.0,False,False,False,False,0.0,
IRA000ETT21000002,Inland Revenue Authority of Singapore,IT,2021-04-29,FY2021,ETT,True,1,1,111935.56,False,False,False,False,0.0,
PUB000ETT21000006,Public Utilities Board,supplies,2021-04-29,FY2021,ETT,True,1,1,230660.0,False,False,False,False,0.0,
PUB000ETT21000005,Public Utilities Board,other,2021-04-29,FY2021,ETT,True,1,1,3092000.0,False,False,False,False,0.0,
PMOEDEETT21000001,Prime Minister's Office-Elections Department,IT,2021-04-29,FY2021,ETT,True,1,1,7421656.96,False,False,False,False,0.0,
PUB000ETT20300292,Public Utilities Board,consultancy,2021-04-29,FY2021,ETT,True,1,1,5263400.0,False,False,False,False,0.0,
EMA000ETT21000007,Energy Market Authority of Singapore,consultancy,2021-04-29,FY2021,ETT,True,1,1,160000.0,False,True,False,False,1.0,round_amount
MOE000ETT19300112,Ministry of Education,IT,2021-04-30,FY2021,ETT,True,1,1,1867655.0,False,False,False,False,0.0,
HSA000ETT21000016,Health Sciences Authority,supplies,2021-04-30,FY2021,ETT,True,1,1,241432.82,False,False,False,False,0.0,
MDA000ETT20300024,Info-communications Media Development Authority - MDA,supplies,2021-04-30,FY2021,ETT,True,1,1,609000.0,False,False,False,False,0.0,
GVT000ETT20300035,Government Technology Agency (GovTech),IT,2021-04-30,FY2021,ETT,True,12,12,12.0,False,False,True,False,1.0,high_share_incumbent
CSC000ETT20300011,Civil Service College,training,2021-04-30,FY2021,ETT,True,6,6,131820.0,False,False,False,False,0.0,
HDB000ETT20300230,Housing and Development Board,construction,2021-04-30,FY2021,ETT,True,1,1,3788193.0,False,False,False,False,0.0,
DEF000ETT21000016,Ministry of Defence,other,2021-04-30,FY2021,ETT,True,1,1,2298538.0,False,False,False,False,0.0,
HDB000ETT21000008,Housing and Development Board,consultancy,2021-04-30,FY2021,ETT,True,1,1,298500.0,False,False,False,False,0.0,
CPF000ETT21000005,Central Provident Fund Board,IT,2021-04-30,FY2021,ETT,True,1,1,820039.0,False,False,False,False,0.0,
HDB000ETT20300235,Housing and Development Board,construction,2021-04-30,FY2021,ETT,True,1,1,340000000.0,False,True,False,False,1.0,round_amount
CSC000ETT21000002,Civil Service College,supplies,2021-04-30,FY2021,ETT,True,1,1,730.0,False,False,False,False,0.0,
LTA000ETT20300125,Land Transport Authority,construction,2021-04-30,FY2021,ETT,True,1,1,21250000.0,False,True,False,False,1.0,round_amount
ITA000ETT20300017,Ministry of Digital Development and Information,consultancy,2021-05-03,FY2021,ETT,True,1,1,118000.0,False,False,False,False,0.0,
SSG000ETT21000004,SkillsFuture Singapore,other,2021-05-03,FY2021,ETT,True,1,1,38274.0,False,False,False,False,0.0,
LTA000ETT21000002,Land Transport Authority,other,2021-05-03,FY2021,ETT,True,1,1,2118727.33,False,False,False,False,0.0,
HDB000ETT21000025,Housing and Development Board,other,2021-05-03,FY2021,ETT,True,1,1,0.05,False,False,False,False,0.0,
NST000ETT20300120,"Agency for Science, Technology and Research",supplies,2021-05-03,FY2021,ETT,True,1,1,157500.0,False,False,False,False,0.0,
MOE000ETT20300078,Ministry of Education,consultancy,2021-05-03,FY2021,ETT,True,1,1,1.52,False,False,False,False,0.0,
MOE000ETT20300077,Ministry of Education,consultancy,2021-05-03,FY2021,ETT,True,1,1,1944767.4,False,False,False,False,0.0,
PAS000ETT20300119,People's Association,cleaning/facilities,2021-05-03,FY2021,ETT,True,1,1,115800.0,False,False,False,False,0.0,
SPC000ETT20300021,Singapore Sports Council (Sport Singapore) - SPC,consultancy,2021-05-03,FY2021,ETT,True,1,1,5.9,False,False,False,False,0.0,
NPB000ETT20300092,National Parks Board,cleaning/facilities,2021-05-04,FY2021,ETT,True,1,1,5963778.88,False,False,False,False,0.0,
