tender_no,agency,category,award_date,fiscal_year,awarded_amt,suppliers,near_threshold,round_amount,high_share_incumbent,dominant_supplier_category,score,reasons
HDB000ETT24000127,Housing and Development Board,construction,2024-11-29,FY2024,368000000.0,LS CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
LTA000ETT20300031,Land Transport Authority,construction,2022-02-07,FY2021,363600000.0,SINGAPORE ENGINEERING & CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT23000145,Housing and Development Board,construction,2023-11-30,FY2023,359700000.0,CHANG HUA CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT20300235,Housing and Development Board,construction,2021-04-30,FY2021,340000000.0,QINGJIAN INTERNATIONAL SOUTH PACIFIC GROUP DEVELOPMENT CO PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT24000143,Housing and Development Board,construction,2024-12-31,FY2024,332600000.0,WELLTECH CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT21000148,Housing and Development Board,construction,2022-01-31,FY2021,327000000.0,HI-TEK CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
LTA000ETT20300002,Land Transport Authority,construction,2021-11-08,FY2021,320000000.0,HOCK LIAN SENG INFRASTRUCTURE PTE LTD,False,True,False,False,1.0,round_amount
MOE000ETT24000117,Ministry of Education,construction,2025-07-01,FY2025,314750000.0,CHINA CONSTRUCTION SOUTH PACIFIC DEVELOPMENT CO PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT24000217,Housing and Development Board,construction,2025-02-28,FY2024,310380000.0,NEWCON BUILDERS PTE LTD,False,True,False,False,1.0,round_amount
HDB000ETT23000233,Housing and Development Board,construction,2024-02-29,FY2023,307800000.0,JIA YI CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
NATHQ0ETT22000008,Ministry of National Development-Ministry Headquarter,other,2023-09-22,FY2023,304500000.0,SANTARLI CONSTRUCTION PTE LTD,False,True,False,False,1.0,round_amount
SLA000ETT22000010,Singapore Land Authority,construction,2023-11-24,FY2023,303392072.0,RICH CONSTRUCTION COMPANY PTE LTD,False,False,False,True,1.0,dominant_supplier_category
